Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+---------------------
      0 | ( 81.3, 70.9)=    0 
      1 | ( -1.0, -1.0)=   -4 
      2 | (254.8, 97.0)=    0 
      3 | (244.9, 89.0)=    0 
      4 | (271.9, 73.0)=    0 
      5 | ( 95.0,137.9)=    0 
      6 | (277.1,146.0)=    0 
      7 | (258.9, 73.0)=    0 
      8 | (238.9, 72.0)=    0 
      9 | ( 95.0,117.0)=    0 
     10 | (268.9, 92.0)=    0 
     11 | (256.3,145.0)=    0 
     12 | (248.9, 73.0)=    0 
     13 | (286.2,196.2)=    0 
     14 | (147.8,122.0)=    0 
     15 | (287.9, 84.1)=    0 
     16 | ( -1.0, -1.0)=   -5 
     17 | (135.4,122.0)=    0 
     18 | (168.3,188.9)=    0 
     19 | (108.0,112.0)=    0 
     20 | ( -1.0, -1.0)=   -5 
     21 | (109.1,140.9)=    0 
     22 | (255.9,109.0)=    0 
     23 | ( 89.4,165.9)=    0 
     24 | ( 87.4, 89.9)=    0 
     25 | (286.9,113.0)=    0 
     26 | (139.8, 97.9)=    0 
     27 | ( 89.5,177.0)=    0 
     28 | ( -1.0, -1.0)=   -5 
     29 | (109.1,212.9)=    0 
     30 | (148.8, 60.0)=    0 
     31 | ( -1.0, -1.0)=   -5 
     32 | (126.9,206.9)=    0 
     33 | (283.2,160.2)=    0 
     34 | ( 98.1,213.8)=    0 
     35 | (265.9,106.0)=    0 
     36 | ( 49.5, 63.9)=    0 
     37 | (155.4,194.9)=    0 
     38 | (154.9,102.9)=    0 
     39 | (272.0,203.1)=    0 
     40 | (250.7,184.2)=    0 
     41 | (202.9, 37.0)=    0 
     42 | (271.9,214.1)=    0 
     43 | (201.9, 70.0)=    0 
     44 | (136.7, 58.0)=    0 
     45 | ( -1.0, -1.0)=   -4 
     46 | (159.9, 60.0)=    0 
     47 | (254.9,210.1)=    0 
     48 | ( 87.4,103.6)=    0 
     49 | (216.4,200.3)=    0 
     50 | (130.2,153.9)=    0 
     51 | (260.8,128.0)=    0 
     52 | ( 57.1,138.8)=    0 
     53 | (198.6,198.0)=    0 
     54 | ( 68.1,127.9)=    0 
     55 | ( -1.0, -1.0)=   -5 
     56 | (180.8, 47.0)=    0 
     57 | (288.0, 94.1)=    0 
     58 | ( 77.2,187.8)=    0 
     59 | ( 50.1,149.7)=    0 
     60 | ( 51.1,126.9)=    0 
     61 | (180.8,114.3)=    0 
     62 | (243.9,204.1)=    0 
     63 | (165.1,203.9)=    0 
     64 | (226.8,202.2)=    0 
     65 | ( 70.1,149.8)=    0 
     66 | (223.0, 56.9)=    0 
     67 | (108.1,131.0)=    0 
     68 | (181.6,100.9)=    0 
     69 | ( 71.1,137.8)=    0 
     70 | ( 38.1,115.9)=    0 
     71 | (134.8, 77.0)=    0 
     72 | (254.8, 87.0)=    0 
     73 | (251.7,165.3)=    0 
     74 | (219.3,212.3)=    0 
     75 | ( 27.4, 70.9)=    0 
     76 | (101.1,150.9)=    0 
     77 | (157.8,117.9)=    0 
     78 | ( 67.2,187.8)=    0 
     79 | (118.1,115.0)=    0 
     80 | (117.3,202.9)=    0 
     81 | (220.2, 70.0)=    0 
     82 | (231.9,212.1)=    0 
     83 | ( 92.2, 41.9)=    0 
     84 | (277.0,115.8)=    0 
     85 | ( 26.3,104.8)=    0 
     86 | (197.9,187.0)=    0 
     87 | (149.9, 90.0)=    0 
     88 | (165.8, 70.0)=    0 
     89 | ( 71.2,172.9)=    0 
     90 | (135.8, 87.8)=    0 
     91 | ( 83.4,212.8)=    0 
     92 | (181.7, 87.0)=    0 
     93 | ( 47.2,139.8)=    0 
     94 | (241.4,100.2)=    0 
     95 | (224.0, 40.0)=    0 
     96 | ( 77.2,197.7)=    0 
     97 | (209.7,190.1)=    0 
     98 | (164.9,129.2)=    0 
     99 | ( -1.0, -1.0)=   -5 
